iter	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
1455	0.3291562448	0.2266222	0.7220140852	0.1131174714
1460	0.3293313323	0.2265325718	0.7221346245	0.1131174714
1465	0.3293438386	0.2270311545	0.7224014246	0.1132675465
1470	0.3293438386	0.2270339336	0.722318572	0.1133175715
1475	0.3295439386	0.2272846145	0.7223228139	0.1133675965
1480	0.3296064699	0.2272811406	0.7224756681	0.1133675965
1485	0.3296064699	0.2278942249	0.7223808901	0.1134176215
1490	0.3299941637	0.2279689845	0.7236745194	0.1136677466
1495	0.3300817075	0.2282594075	0.7243455203	0.1137677966
1500	0.3303068201	0.2284864655	0.7239078015	0.1137677966
1505	0.3303693513	0.2284203213	0.7241783913	0.1138178216
1510	0.3305444389	0.2283369463	0.7249774751	0.1140179217
1515	0.3306444889	0.2283772442	0.7247607	0.1139178716
1520	0.3309696515	0.2281999333	0.7255527627	0.1140179217
1525	0.3310571953	0.2282627425	0.7258376873	0.1141679967
1530	0.3309571452	0.2280151187	0.7255430225	0.1140679467
1535	0.3310697015	0.2283413929	0.7253124247	0.1140179217
1540	0.3312322828	0.2289002835	0.7249771882	0.1140679467
1545	0.3315574454	0.2294638986	0.7259417758	0.1145181718
1550	0.3317075204	0.229238925	0.7262961196	0.1145681968
1555	0.3317200267	0.2295385193	0.7260876821	0.1146682468
1560	0.3316825079	0.2296666389	0.726049354	0.1146682468
1565	0.3317325329	0.2299000889	0.7258178863	0.1145181718
1570	0.3318075705	0.2300088933	0.7263360025	0.1146182218
1575	0.3318200767	0.2304534212	0.7259197076	0.1145181718
1580	0.3317325329	0.2301871769	0.726148989	0.1145681968
1585	0.3320451893	0.2300854594	0.7263205033	0.1146682468
1590	0.3322828081	0.2303744928	0.7265456158	0.1147682968
1595	0.3324078706	0.2306389306	0.7265734075	0.1147682968
1600	0.3325579456	0.2307106331	0.727211443	0.1149683969
1605	0.3324328831	0.231001195	0.7264666261	0.1147682968
1610	0.3327705519	0.2311354288	0.7269168512	0.1148183219
1615	0.3326955144	0.230921155	0.72685432	0.1148183219
1620	0.332820577	0.2308469513	0.7273799491	0.1150184219
1625	0.3330331833	0.2314136235	0.727371966	0.1149183719
1630	0.3330832083	0.2317264188	0.7270599052	0.1149683969
1635	0.3331957645	0.2317266967	0.7264993075	0.1147182718
1640	0.3334959146	0.2317141904	0.7267603507	0.1149183719
1645	0.3334709021	0.2322714135	0.7270668531	0.1150184219
1650	0.3334333834	0.2320852093	0.7268381674	0.1149183719
1655	0.3337335334	0.2319508365	0.7275009988	0.1151184719
1660	0.3337460397	0.2321284253	0.7274243912	0.1150684469
