iter	RMSE	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
1225	0.1721105054	0.3321687306	0.2127074648	0.7058911051	0.1111164709
1230	0.1720849415	0.3321728966	0.2126061642	0.7059494676	0.1110664459
1235	0.1720515851	0.3322393418	0.2126563282	0.7062666716	0.1111664959
1240	0.1720154591	0.3322620278	0.2125826802	0.7063119324	0.1111164709
1245	0.171978737	0.332587927	0.2130576399	0.7065662993	0.111216521
1250	0.1719370073	0.3327682589	0.2131362904	0.7075382138	0.111516671
1255	0.1719070952	0.332576624	0.213604719	0.7064051076	0.1111664959
1260	0.1718769766	0.3327313481	0.2137178311	0.7065426764	0.111266546
1265	0.1718361392	0.3331759142	0.213748263	0.7070266666	0.111516671
1270	0.1717938081	0.3333027168	0.214339114	0.7071297068	0.1116167211
1275	0.1717614767	0.3332984812	0.2143129898	0.706934371	0.1116167211
1280	0.17172097	0.33347235	0.2146553832	0.7076729077	0.1117667961
1285	0.1716861251	0.3338029515	0.2143769107	0.7071101263	0.1116667461
1290	0.1716467576	0.3338030026	0.2147373687	0.7073176976	0.1117167711
1295	0.1716118453	0.3339190503	0.2147690512	0.708327546	0.1120169212
1300	0.1715711838	0.3340831718	0.2154581457	0.7088000044	0.1121169712
1305	0.1715349716	0.3343536797	0.2155713968	0.7093204722	0.1124171213
1310	0.1715010525	0.3345157822	0.2160182869	0.7095093825	0.1126672463
1315	0.1714607832	0.334548913	0.2162991218	0.709685432	0.1127172713
1320	0.1714240768	0.3346244477	0.2164337724	0.7099355571	0.1127172713
1325	0.1713827802	0.3346676841	0.2163228837	0.7101122022	0.1128173214
1330	0.1713461842	0.3348914742	0.216238397	0.7097953771	0.1129173714
1335	0.171304435	0.3348201392	0.2166683342	0.708963612	0.1129173714
1340	0.1712660793	0.335142558	0.2165279862	0.7094757729	0.1130174214
1345	0.171234591	0.3351348739	0.2165607804	0.7099041922	0.1129673964
1350	0.1711944012	0.3350418024	0.2163790228	0.7092233693	0.1126172213
1355	0.1711578847	0.3355271756	0.2163281641	0.7097367212	0.1128673464
1360	0.1711303892	0.3356672368	0.2166303985	0.7103266988	0.1130174214
1365	0.1710937542	0.3356196377	0.2166968206	0.7104735425	0.1131174714
1370	0.1710595305	0.3357964694	0.2173457562	0.7107395485	0.1132675465
1375	0.1710256146	0.3359158705	0.2169908565	0.7113148362	0.1133175715
1380	0.1709892643	0.3362722951	0.2172490412	0.7121861052	0.1136677466
1385	0.1709499311	0.3365553962	0.2172432049	0.7120620532	0.1137677966
1390	0.1709061361	0.3363362216	0.2172812795	0.7111969381	0.1135176715
1395	0.1708624724	0.3366328063	0.2174180146	0.7121446342	0.1138678466
1400	0.1708276249	0.3367752277	0.2173004558	0.7116030755	0.1137177716
1405	0.1707833935	0.3368557576	0.2172601579	0.7120487529	0.1137677966
1410	0.1707453409	0.3366230362	0.2177548496	0.7117396337	0.1136177216
1415	0.1707073399	0.3368530878	0.2178335001	0.7116312462	0.1138178216
1420	0.1706743749	0.3367600837	0.2176628592	0.7112143711	0.1136677466
1425	0.1706414335	0.3371386089	0.2179582847	0.7108978618	0.1137177716
1430	0.1706080878	0.3372691297	0.2185927686	0.711166647	0.1136677466
1435	0.1705647533	0.3374892643	0.2187495136	0.7126465536	0.1140179217
1440	0.1705318809	0.3376090768	0.2189926908	0.7123401504	0.1139678966
1445	0.1704956057	0.3381386022	0.2197170808	0.7142369322	0.1143180717
1450	0.170443456	0.3380030072	0.2199688733	0.7129275654	0.1141179717
1455	0.1704078086	0.3381826739	0.2202063532	0.7136660298	0.1142680467
