iter	RMSE	AverageGain:top=10	MAP:top=5	RecallAt:top=10	PrecisionAt:top=10
860	0.1749245214	0.3181882608	0.2135107832	0.7087512979	0.1119168711
865	0.1748671363	0.3183008171	0.2136412651	0.7091098105	0.1119168711
870	0.1748283719	0.3186134734	0.2139769885	0.70958965	0.1122170212
875	0.1747789339	0.3188635985	0.2139960258	0.7100196269	0.1123170712
880	0.1747412041	0.319038686	0.2147801679	0.7106693565	0.1125671963
885	0.1747012089	0.3193013173	0.2148068479	0.7110632043	0.1127672963
890	0.1746537403	0.3194138736	0.2150118115	0.7104998273	0.1127172713
895	0.1746139702	0.3195389361	0.21565102	0.7105197091	0.1127672963
900	0.1745701933	0.3198140737	0.2158480629	0.7114723107	0.1131174714
905	0.1745321062	0.319876605	0.2153443388	0.7118766796	0.1131174714
910	0.1744744507	0.3199016175	0.2154996943	0.7110868005	0.1130174214
915	0.1744326616	0.3200141738	0.2157995664	0.7116116661	0.1132175215
920	0.1743894194	0.3201392363	0.216308293	0.7114336009	0.1133175715
925	0.1743356455	0.3206644989	0.2165000556	0.7124796978	0.1136677466
930	0.1742947609	0.3205144239	0.2164711522	0.7128362253	0.1137177716
935	0.1742516334	0.3210897115	0.2165160358	0.7140723287	0.1141179717
940	0.1742068496	0.3212147741	0.216952504	0.7141598725	0.1141679967
945	0.1741557306	0.3214023679	0.2171822022	0.7157690104	0.1143680967
950	0.1741045295	0.3216649992	0.2172880885	0.7162047469	0.1145181718
955	0.1740686731	0.3216399867	0.2174048135	0.7159226614	0.1144181218
960	0.174025087	0.3219276305	0.2176824523	0.7171162069	0.1145681968
965	0.1739761664	0.3223153243	0.2178576788	0.7177617372	0.1149183719
970	0.1739382177	0.3225154244	0.2188998666	0.7161446283	0.1147182718
975	0.1739046767	0.3226029682	0.2185391307	0.7161297561	0.1148683469
980	0.1738657276	0.3228530932	0.2189503085	0.7183225191	0.115218522
985	0.1738259115	0.3231157245	0.2202854205	0.7185581528	0.115268547
990	0.1737818242	0.3228781057	0.2201295092	0.7175646005	0.1150684469
995	0.1737285267	0.3229656495	0.2202362292	0.7178163136	0.115318572
1000	0.1736918981	0.3232908121	0.2204328553	0.7185299641	0.115368597
1005	0.1736387449	0.3235284309	0.2208719638	0.7199348332	0.1157187721
1010	0.1735827656	0.3236284809	0.2216702796	0.7191930121	0.1156187221
1015	0.1735317693	0.3240036685	0.2213155189	0.7197317555	0.1158188221
1020	0.1734782155	0.3240912123	0.2216283142	0.7195441131	0.1159188721
1025	0.1734373382	0.3241537435	0.2213709633	0.719210613	0.1158188221
1030	0.1733985609	0.3243413373	0.2218285532	0.7204547055	0.1161189722
1035	0.1733682377	0.3244538936	0.221872603	0.7199377804	0.1161689972
1040	0.1733196855	0.3246664999	0.2220683953	0.7199711304	0.1162690472
1045	0.1732859649	0.3247415374	0.2222500139	0.720098178	0.1163690972
1050	0.1732358471	0.3250041688	0.2219247124	0.720455301	0.1167192723
1055	0.173196036	0.3252793063	0.2228016786	0.7207139496	0.1168193224
1060	0.1731488141	0.3254794064	0.2226495192	0.7213452482	0.1170194224
1065	0.1731147829	0.3253418376	0.2231524095	0.7214619001	0.1168693474
1070	0.1730793435	0.3254919126	0.2235098105	0.7225318309	0.1171194724
1075	0.1730391516	0.3253168251	0.2241233117	0.7208865638	0.1169193724
1080	0.1729882425	0.3253543438	0.2245101718	0.7219486333	0.1171194724
1085	0.1729537372	0.3255794564	0.224259074	0.7219468648	0.1172695475
1090	0.1729067341	0.3256294814	0.2243317492	0.7215069279	0.1172195225
1095	0.1728612867	0.3256920127	0.2244099828	0.722206484	0.1173695975
1100	0.1728272815	0.3259421377	0.2245638097	0.7230152217	0.1175696975
1105	0.1727775862	0.326054694	0.2244732088	0.722073084	0.1174696475
1110	0.1727428512	0.3262798066	0.2241726419	0.7217767553	0.1172695475
1115	0.1727054126	0.3263673503	0.225006531	0.7221936304	0.1173695975
1120	0.1726648707	0.3263173253	0.2243509255	0.7231903409	0.1176197226
1125	0.1726307667	0.3264799066	0.224689428	0.7245827037	0.1178698476
1130	0.1725897413	0.3269301317	0.2243742705	0.7248616311	0.1181699977
1135	0.1725517734	0.3269301317	0.2245603357	0.724765055	0.1180699477
1140	0.172508368	0.3268801067	0.2250115335	0.7244926966	0.1179198726
1145	0.1724750152	0.3269301317	0.2257787227	0.7246531519	0.1180699477
1150	0.1724412498	0.326942638	0.2258226335	0.7254962503	0.1182200227
1155	0.1724027225	0.327142738	0.2263305264	0.7260058124	0.1183700977
1160	0.172363306	0.3271177255	0.2268328609	0.7263719677	0.1183200727
1165	0.1723307607	0.3271677505	0.2265022789	0.7279737787	0.1187702978
1170	0.1722927056	0.3275429381	0.2269354122	0.7287412079	0.1189703979
1175	0.1722535953	0.3274303819	0.2269201267	0.7274321469	0.1188703479
1180	0.1722145213	0.3276054694	0.2279696793	0.7277229975	0.1189203729
1185	0.1721751296	0.3280181758	0.2280762604	0.7290841481	0.119370598
1190	0.1721243267	0.3279056195	0.2284524207	0.7286710628	0.119270548
1195	0.1720951734	0.328130732	0.2277658274	0.7291588067	0.119520673
1200	0.1720631503	0.3284558946	0.2279887166	0.7297548649	0.1196707481
1205	0.1720286631	0.3286184759	0.2280816797	0.7291433315	0.119470648
1210	0.1719784354	0.3286059697	0.2283876661	0.7290857269	0.119470648
1215	0.1719479447	0.3285684509	0.228518148	0.7300830205	0.1196207231
1220	0.1719064544	0.3287185259	0.2293079873	0.7310571672	0.1198208231
1225	0.1718780114	0.3287060197	0.2292096048	0.7306733363	0.1196707481
1230	0.1718468914	0.328868601	0.2297987883	0.7310344142	0.1198708481
1235	0.17178764	0.3290061698	0.2302214996	0.7307738673	0.1198708481
1240	0.1717530446	0.3292062698	0.2301860653	0.7310917537	0.1198208231
1245	0.1717188274	0.3292938136	0.2303622645	0.7311084287	0.1198208231
1250	0.1716715845	0.3294313824	0.2306047468	0.7313677054	0.1200209232
1255	0.1716324914	0.3296690012	0.2311033294	0.7319656415	0.1203710982
1260	0.171606762	0.3297190262	0.230687566	0.7326068351	0.1204711483
1265	0.1715587775	0.3298440887	0.2310305153	0.7323740278	0.1205711983
1270	0.1715227443	0.3300942138	0.2317421211	0.732638554	0.1207212733
1275	0.1714914011	0.3302567951	0.2310356567	0.73326051	0.1210214234
1280	0.1714573284	0.3303193263	0.2315995498	0.7330183559	0.1208713484
1285	0.1714183151	0.3304068701	0.2323071258	0.7336180119	0.1208713484
1290	0.1713903662	0.3304068701	0.2329115947	0.7343286847	0.1211714984
1295	0.1713576513	0.3307570452	0.2330519426	0.7346844182	0.1213715985
1300	0.1713177521	0.3308821077	0.2329675949	0.7344154345	0.1214716485
1305	0.1712818121	0.3311572453	0.2330199822	0.7345702738	0.1215216735
1310	0.1712505914	0.3312197766	0.2332331443	0.7344981147	0.1214716485
1315	0.1712085458	0.3313448391	0.2332123006	0.734593617	0.1215216735
1320	0.1711802899	0.3314949141	0.2329734312	0.7356253829	0.1218218236
1325	0.1711454656	0.3315324329	0.2331362904	0.735395091	0.1218218236
1330	0.1711097093	0.3316700017	0.2336265355	0.7358773496	0.1220219237
1335	0.1710708442	0.3318450892	0.2343777444	0.736282146	0.1221219737
1340	0.1710254095	0.331832583	0.2345374076	0.7361923284	0.1220219237
1345	0.1709872839	0.332082708	0.2349692902	0.7364155507	0.1222220237
1350	0.1709436178	0.3320076705	0.2354509199	0.7361366233	0.1221219737
1355	0.1709074171	0.3323453393	0.2351195042	0.7379163011	0.1224721488
1360	0.170865659	0.3323453393	0.2354421655	0.7375272176	0.1224221238
1365	0.1708349773	0.3323828581	0.2351057473	0.7365962451	0.1223220737
1370	0.1707969459	0.3324829081	0.2348652104	0.7363878076	0.1222720487
1375	0.1707625827	0.3327830582	0.235193708	0.7366475408	0.1224721488
1380	0.1707199686	0.332820577	0.2350372408	0.7368450755	0.1225221738
1385	0.1706813872	0.3329956645	0.2357821967	0.7382158366	0.1229223739
1390	0.1706402123	0.3333208271	0.2361098605	0.7379549738	0.1228723489
1395	0.170604487	0.3335209271	0.2362144961	0.7383374786	0.1231224739
1400	0.1705599472	0.3339211272	0.2361886499	0.7382596619	0.123222524
1405	0.170507499	0.3337085209	0.2368298038	0.7383259098	0.123322574
1410	0.1704724764	0.3337960647	0.2369415263	0.738627251	0.1236727491
1415	0.1704394255	0.3339961647	0.2368393919	0.7389571778	0.1237727991
1420	0.1704009632	0.3338210772	0.2377309488	0.7385140992	0.1237227741
1425	0.1703620278	0.3338460897	0.23750667	0.7380314986	0.123522674
1430	0.1703264269	0.3339336335	0.2375208438	0.7380549535	0.123422624
1435	0.1702852957	0.3342587961	0.2376338169	0.7392555538	0.1236227241
1440	0.1702605666	0.3344964149	0.2373627091	0.7395655041	0.1238228241
1445	0.1702206236	0.3346715024	0.2367851982	0.739466343	0.1238228241
1450	0.1701869292	0.3346214774	0.2373403368	0.7395960018	0.1240229242
1455	0.1701516195	0.3346715024	0.2373645156	0.7393117202	0.1240229242
1460	0.1701186739	0.3346339837	0.2376774498	0.7391783687	0.1239728991
1465	0.1700804671	0.3347715524	0.2379243789	0.7396471929	0.1242230242
1470	0.1700467449	0.3347965649	0.2372519593	0.7398534468	0.1243230742
1475	0.1700133136	0.3349591462	0.2377030182	0.7400598993	0.1243730992
1480	0.1699854848	0.3349591462	0.2382380079	0.7405879411	0.1243730992
1485	0.1699487593	0.3351342338	0.2388472014	0.7402575991	0.1243730992
1490	0.1699154309	0.3351217275	0.2389971375	0.7402807945	0.1244231243
1495	0.1698792248	0.3354218776	0.2394663999	0.740571434	0.1245731993
1500	0.1698385353	0.3356219777	0.2394290201	0.7403919792	0.1247232743
1505	0.1698054373	0.3358095715	0.2398178256	0.7401803349	0.1249233744
1510	0.1697617806	0.3358095715	0.2401328442	0.7404604353	0.1248733494
1515	0.169732275	0.3359221277	0.2405381858	0.7415943356	0.1250234244
1520	0.1696912674	0.3361472403	0.2413353899	0.7418958752	0.1252235245
1525	0.1696651748	0.3361722528	0.2420198988	0.7420886123	0.1252735495
1530	0.1696186906	0.3363598466	0.2423886943	0.7419802248	0.1252235245
1535	0.169587898	0.3365474404	0.2422679395	0.7425916416	0.1253235745
1540	0.1695548582	0.3363223278	0.2417692179	0.7429023128	0.1252235245
1545	0.1695233883	0.3365224279	0.2424827692	0.7427820146	0.1253235745
1550	0.1694867235	0.3368100717	0.2426424323	0.743594921	0.1256737496
1555	0.1694461158	0.3369601467	0.2433136012	0.7442272302	0.1257737996
1560	0.1694171984	0.3371977655	0.2433714079	0.7441557659	0.1257737996
1565	0.1693791627	0.337122728	0.2435603913	0.7440072484	0.1258738496
1570	0.169347032	0.3372728031	0.2436008282	0.745141411	0.1259738996
1575	0.1693138916	0.3375229281	0.2438501195	0.7451378378	0.1260739497
1580	0.1692734263	0.3373228281	0.2443095159	0.7448954547	0.1259238746
1585	0.169242433	0.3376855094	0.2438180201	0.7451565972	0.1261239747
1590	0.1692033996	0.3380231783	0.2444666778	0.7455155374	0.1262740497
1595	0.1691730682	0.3378856095	0.2439436385	0.745409929	0.1261739997
1600	0.1691352843	0.3377355344	0.2438478962	0.7447307891	0.1259238746
1605	0.1691033298	0.3377355344	0.2442674115	0.7449101185	0.1260239247
1610	0.1690619011	0.3381232283	0.2439815741	0.7453308754	0.1262740497
1615	0.1690270471	0.3384608971	0.2440671725	0.7457144005	0.1263740997
1620	0.1689978968	0.3385109221	0.2443798288	0.7460979256	0.1263740997
1625	0.1689645343	0.3386109722	0.2449884665	0.7465267531	0.1265741998
1630	0.168931841	0.3385984659	0.2450140348	0.7464846991	0.1265241748
1635	0.1689013764	0.3389236285	0.2450397421	0.7468176768	0.1266242248
1640	0.1688664739	0.339098716	0.2457588516	0.7469169328	0.1266242248
1645	0.1688345453	0.3394113724	0.2459343561	0.7469308286	0.1267242748
1650	0.1688032715	0.3394739036	0.2462770274	0.7475700371	0.1268743499
1655	0.1687698629	0.3396865099	0.2460537213	0.748108768	0.1270744499
1660	0.1687399302	0.3398240787	0.2469662609	0.7484287998	0.127224525
1665	0.1687054941	0.3396614974	0.2477066311	0.7478186994	0.1270244249
1670	0.1686727429	0.3397740537	0.2476371519	0.7475881017	0.1269243749
1675	0.1686343315	0.3398490912	0.247840587	0.7468265367	0.1268743499
1680	0.1686092679	0.3402242788	0.2480805681	0.7467499111	0.1270744499
1685	0.1685786218	0.3403993663	0.2479289645	0.7471618109	0.1271744999
1690	0.1685488476	0.3405369351	0.2482471791	0.7480014558	0.12727455
1695	0.1685156194	0.3404994164	0.2487174143	0.7479272123	0.12727455
1700	0.1684857647	0.3407120227	0.2481467122	0.7468835448	0.1271244749
1705	0.1684449312	0.3408370852	0.2489504474	0.747368903	0.1273746
1710	0.1684116748	0.3407995664	0.2494048413	0.7473966947	0.12727455
1715	0.1683800221	0.3409121227	0.2495646434	0.7485867739	0.1276247251
1720	0.1683506673	0.3408495915	0.2494398588	0.7482574425	0.127524675
1725	0.1683172074	0.3411997665	0.2491716692	0.7487763528	0.1277247751
1730	0.1682941854	0.3412122728	0.2491795898	0.7489052051	0.1278248251
1735	0.1682692176	0.3411622478	0.2495408816	0.7491168739	0.1277748001
1740	0.1682311459	0.3413498416	0.2497672447	0.749513176	0.1277748001
1745	0.1682015955	0.3414248791	0.2500159802	0.7494797447	0.1277748001
1750	0.1681682293	0.3416249792	0.250337252	0.7501132089	0.1277247751
1755	0.1681355741	0.3417500417	0.2506223945	0.7501243255	0.1276747501
1760	0.1681015235	0.3417375354	0.2507171641	0.7506573718	0.1280249252
1765	0.1680739955	0.3415124229	0.2509633984	0.7495437197	0.1276247251
1770	0.1680468876	0.3417000167	0.2506745039	0.7500978874	0.1278748501
1775	0.168007924	0.3418375855	0.2511263965	0.7503028871	0.1279749001
1780	0.1679703723	0.3420501918	0.2514257129	0.7510282497	0.1282250252
1785	0.1679409768	0.3419501417	0.2517136346	0.75104543	0.1282750502
1790	0.167912959	0.341862598	0.2515559168	0.7505535174	0.1281249752
1795	0.1678811659	0.3419376355	0.2516827858	0.7504433433	0.1281750002
1800	0.1678447683	0.342012673	0.2517339225	0.7501126224	0.1280749502
1805	0.1678163943	0.3421377355	0.2517371186	0.7496957473	0.1280749502
1810	0.1677894072	0.3421502418	0.25154883	0.7500459224	0.1281249752
1815	0.1677501595	0.3422502918	0.252413151	0.7499176531	0.1282250252
1820	0.1677128208	0.3423128231	0.2522098549	0.7505638095	0.1282750502
1825	0.1676808504	0.3424003669	0.2523749375	0.7503361316	0.1283250752
1830	0.1676503751	0.3426129732	0.2523768829	0.7505933725	0.1285251753
1835	0.167623191	0.3428130732	0.2529830193	0.7509066244	0.1287252753
1840	0.1675911184	0.343100717	0.2534786838	0.7510580159	0.1287753003
1845	0.1675596745	0.3430381858	0.254175699	0.7516879123	0.1289754004
1850	0.1675249648	0.3428130732	0.2544644544	0.7515211623	0.1288253254
1855	0.1674962269	0.3433383358	0.2547683564	0.7526512728	0.1292255255
1860	0.1674681889	0.3436134734	0.2543360569	0.7527402062	0.1293756005
1865	0.1674302837	0.3438510922	0.2542069646	0.753555982	0.1295757005
